Class,Precision,Recall,F1-Score,Support
ABE,0.00,0.00,0.00,2
ART,0.71,0.86,0.78,5889
BAS,0.67,0.03,0.06,132
BLA,0.69,0.58,0.63,3591
EBO,0.90,0.90,0.90,8218
EOS,0.96,0.76,0.85,1764
FGC,0.00,0.00,0.00,14
HAC,0.28,0.04,0.07,122
KSC,0.00,0.00,0.00,12
LYI,0.00,0.00,0.00,19
LYT,0.81,0.86,0.83,7872
MMZ,0.34,0.18,0.24,916
MON,0.56,0.46,0.50,1212
MYB,0.65,0.34,0.45,1967
NGB,0.53,0.68,0.60,2990
NGS,0.86,0.84,0.85,8826
NIF,0.56,0.29,0.38,1061
OTH,0.33,0.01,0.02,88
PEB,0.71,0.51,0.60,822
PLM,0.63,0.84,0.73,2289
PMO,0.71,0.79,0.75,3598
